UOV,UOV_vinegars,UOVp,UOVp_vinegars, UOV2, UOVp2_vinegars
0.291137,1,6.93211e-310,0,0.169314,1
0.369135,1,6.93211e-310,0,0.261955,1
0.428113,1,6.93211e-310,0,0.322731,2
0.366245,1,6.93211e-310,0,0.198281,1
0.317866,1,6.93211e-310,0,0.195567,1
0.294963,1,6.93211e-310,0,0.1819,1
0.305601,1,6.93211e-310,0,0.197575,1
0.296347,1,6.93211e-310,0,0.186932,1
0.300753,1,6.93211e-310,0,0.181311,1
0.284412,1,6.93211e-310,0,0.179755,1
0.419025,1,6.93211e-310,0,0.298176,2
0.442556,1,6.93211e-310,0,0.324443,2
0.259693,1,6.93211e-310,0,0.150138,1
0.321643,1,6.93211e-310,0,0.207662,1
0.288187,1,6.93211e-310,0,0.17897,1
0.443133,1,6.93211e-310,0,0.330288,2
0.668777,1,6.93211e-310,0,0.557287,4
0.451705,1,6.93211e-310,0,0.340249,2
0.293385,1,6.93211e-310,0,0.171604,1
0.431924,1,6.93211e-310,0,0.321463,2
0.456122,1,6.93211e-310,0,0.336481,2
0.302826,1,6.93211e-310,0,0.181874,1
0.284338,1,6.93211e-310,0,0.173556,1
0.288725,1,6.93211e-310,0,0.178424,1
0.427184,1,6.93211e-310,0,0.309715,2
0.313485,1,6.93211e-310,0,0.199157,1
0.309835,1,6.93211e-310,0,0.199179,1
0.304198,1,6.93211e-310,0,0.175316,1
0.638732,1,6.93211e-310,0,0.513956,3
0.320316,1,6.93211e-310,0,0.212242,1
0.290658,1,6.93211e-310,0,0.182755,1
0.326286,1,6.93211e-310,0,0.171999,1
0.51386,1,6.93211e-310,0,0.390963,2
0.277169,1,6.93211e-310,0,0.170843,1
0.415222,1,6.93211e-310,0,0.296899,2
0.593194,1,6.93211e-310,0,0.482753,4
0.276064,1,6.93211e-310,0,0.161648,1
0.540878,1,6.93211e-310,0,0.419245,3
0.329203,1,6.93211e-310,0,0.210934,1
0.301535,1,6.93211e-310,0,0.187032,1
0.278749,1,6.93211e-310,0,0.174199,1
0.299991,1,6.93211e-310,0,0.19193,1
0.421074,1,6.93211e-310,0,0.31471,2
0.290724,1,6.93211e-310,0,0.184999,1
0.583758,1,6.93211e-310,0,0.473096,3
0.329671,1,6.93211e-310,0,0.210486,1
0.436904,1,6.93211e-310,0,0.329034,2
0.278071,1,6.93211e-310,0,0.16355,1
0.262635,1,6.93211e-310,0,0.155457,1
0.262477,1,6.93211e-310,0,0.159778,1
0.39723,1,6.93211e-310,0,0.293697,2
0.308489,1,6.93211e-310,0,0.2029,1
0.27016,1,6.93211e-310,0,0.157689,1
0.419616,1,6.93211e-310,0,0.312167,2
0.80581,1,6.93211e-310,0,0.695253,5
0.411813,1,6.93211e-310,0,0.306794,2
0.306819,1,6.93211e-310,0,0.165924,1
0.288802,1,6.93211e-310,0,0.178122,1
0.307315,1,6.93211e-310,0,0.194124,2
1.27701,1,6.93211e-310,0,1.1599,8
0.275769,1,6.93211e-310,0,0.169034,1
0.537315,1,6.93211e-310,0,0.433109,3
0.289764,1,6.93211e-310,0,0.182102,1
0.427194,1,6.93211e-310,0,0.31408,2
0.281237,1,6.93211e-310,0,0.167943,1
0.334578,1,6.93211e-310,0,0.225552,1
0.666449,1,6.93211e-310,0,0.561023,4
0.307908,1,6.93211e-310,0,0.195394,1
0.270677,1,6.93211e-310,0,0.160624,1
0.277884,1,6.93211e-310,0,0.169555,1
0.256181,1,6.93211e-310,0,0.151554,1
0.264259,1,6.93211e-310,0,0.154032,1
0.308199,1,6.93211e-310,0,0.202166,1
0.417556,1,6.93211e-310,0,0.306849,2
0.44136,1,6.93211e-310,0,0.32554,2
0.293223,1,6.93211e-310,0,0.173416,1
0.304152,1,6.93211e-310,0,0.17808,1
0.291751,1,6.93211e-310,0,0.18147,1
0.273415,1,6.93211e-310,0,0.167491,1
0.274725,1,6.93211e-310,0,0.170718,1
0.39976,1,6.93211e-310,0,0.296712,2
0.331861,1,6.93211e-310,0,0.220514,1
0.412709,1,6.93211e-310,0,0.294624,2
0.521317,1,6.93211e-310,0,0.411196,3
0.326152,1,6.93211e-310,0,0.176647,1
0.463368,1,6.93211e-310,0,0.351157,2
0.410277,1,6.93211e-310,0,0.303784,2
0.33382,1,6.93211e-310,0,0.207235,1
0.297395,1,6.93211e-310,0,0.19351,1
0.418387,1,6.93211e-310,0,0.310177,2
0.287483,1,6.93211e-310,0,0.178338,1
0.26772,1,6.93211e-310,0,0.155009,1
0.277735,1,6.93211e-310,0,0.166751,1
0.503816,1,6.93211e-310,0,0.362644,2
0.422017,1,6.93211e-310,0,0.309553,2
0.47196,1,6.93211e-310,0,0.364665,3
0.847237,1,6.93211e-310,0,0.735398,5
0.309948,1,6.93211e-310,0,0.202138,1
0.420377,1,6.93211e-310,0,0.298964,2
0.541546,1,6.93211e-310,0,0.434521,3
