UOV,UOV_vinegars,UOVp,UOVp_vinegars, UOV2, UOVp2_vinegars
0.927017,1,6.90525e-310,0,0.813895,1
0.53851,1,6.90525e-310,0,0.422571,1
1.50104,1,6.90525e-310,0,1.38568,2
1.35363,1,6.90525e-310,0,1.241,2
0.846104,1,6.90525e-310,0,0.72419,1
0.752985,1,6.90525e-310,0,0.642372,1
0.521743,1,6.90525e-310,0,0.398548,1
1.21275,1,6.90525e-310,0,1.10028,2
0.81937,1,6.90525e-310,0,0.713255,1
1.97057,1,6.90525e-310,0,1.85691,3
1.30068,1,6.90525e-310,0,1.18727,2
1.22057,1,6.90525e-310,0,1.10515,2
0.701298,1,6.90525e-310,0,0.584081,1
0.83037,1,6.90525e-310,0,0.721694,1
0.822957,1,6.90525e-310,0,0.701102,1
0.836787,1,6.90525e-310,0,0.731484,1
1.19098,1,6.90525e-310,0,1.0853,2
0.494234,1,6.90525e-310,0,0.383736,1
1.28027,1,6.90525e-310,0,1.16368,2
0.727675,1,6.90525e-310,0,0.622921,1
1.37103,1,6.90525e-310,0,1.26528,2
0.571033,1,6.90525e-310,0,0.460663,1
0.547476,1,6.90525e-310,0,0.397653,1
2.75097,1,6.90525e-310,0,2.64482,4
0.788604,2,6.90525e-310,0,0.659457,1
0.843856,1,6.90525e-310,0,0.727549,2
0.533512,1,6.90525e-310,0,0.420078,1
0.595452,1,6.90525e-310,0,0.491128,1
0.508816,1,6.90525e-310,0,0.40394,1
0.637455,1,6.90525e-310,0,0.524042,1
0.490555,1,6.90525e-310,0,0.386054,1
0.661083,1,6.90525e-310,0,0.544489,2
0.598114,1,6.90525e-310,0,0.474865,1
2.12732,1,6.90525e-310,0,2.01063,3
0.704716,1,6.90525e-310,0,0.564631,1
0.592597,1,6.90525e-310,0,0.483808,1
0.576159,1,6.90525e-310,0,0.461153,1
0.636317,1,6.90525e-310,0,0.533162,1
0.521872,1,6.90525e-310,0,0.412242,1
1.47593,1,6.90525e-310,0,1.36631,2
0.544688,1,6.90525e-310,0,0.439053,1
0.524099,1,6.90525e-310,0,0.417999,1
0.558935,1,6.90525e-310,0,0.451091,1
5.14103,1,6.90525e-310,0,5.03216,8
1.40643,1,6.90525e-310,0,1.28755,2
0.536648,1,6.90525e-310,0,0.429534,1
1.91133,1,6.90525e-310,0,1.80335,3
2.09632,1,6.90525e-310,0,1.98249,3
0.664239,1,6.90525e-310,0,0.556886,1
0.553912,1,6.90525e-310,0,0.437645,1
0.761992,1,6.90525e-310,0,0.652568,1
1.38264,1,6.90525e-310,0,1.26242,2
0.717067,1,6.90525e-310,0,0.607512,1
0.748693,1,6.90525e-310,0,0.635604,1
0.565373,1,6.90525e-310,0,0.450523,1
0.552943,1,6.90525e-310,0,0.419705,1
0.603335,1,6.90525e-310,0,0.495171,1
0.511413,1,6.90525e-310,0,0.396147,1
0.562096,1,6.90525e-310,0,0.450546,1
0.591021,1,6.90525e-310,0,0.484851,1
0.687273,1,6.90525e-310,0,0.5837,1
0.491462,1,6.90525e-310,0,0.379,1
0.75806,1,6.90525e-310,0,0.641685,1
0.756948,1,6.90525e-310,0,0.651596,1
2.64352,1,6.90525e-310,0,2.53353,4
1.47329,1,6.90525e-310,0,1.36276,2
2.77415,1,6.90525e-310,0,2.65995,4
0.844646,1,6.90525e-310,0,0.727365,1
0.639667,1,6.90525e-310,0,0.522454,1
2.01558,1,6.90525e-310,0,1.90824,3
1.20432,1,6.90525e-310,0,1.09826,2
1.36641,1,6.90525e-310,0,1.24,2
0.872446,1,6.90525e-310,0,0.758808,1
0.504836,1,6.90525e-310,0,0.392618,1
1.32889,1,6.90525e-310,0,1.22336,2
0.55382,1,6.90525e-310,0,0.45093,1
0.656407,1,6.90525e-310,0,0.533603,1
1.806,1,6.90525e-310,0,1.69001,3
1.15433,1,6.90525e-310,0,1.03885,2
0.621227,1,6.90525e-310,0,0.516088,1
2.57353,1,6.90525e-310,0,2.46188,4
0.773388,1,6.90525e-310,0,0.666071,1
0.559439,1,6.90525e-310,0,0.444102,1
1.31361,1,6.90525e-310,0,1.19317,2
0.610466,1,6.90525e-310,0,0.496605,1
1.15153,1,6.90525e-310,0,1.04855,2
1.39028,1,6.90525e-310,0,1.28,2
2.17393,1,6.90525e-310,0,2.07056,3
0.742651,1,6.90525e-310,0,0.6322,1
0.756904,1,6.90525e-310,0,0.641556,1
2.54829,1,6.90525e-310,0,2.44307,4
1.3843,1,6.90525e-310,0,1.27945,2
0.512574,1,6.90525e-310,0,0.409815,1
3.09983,1,6.90525e-310,0,2.99337,5
1.4791,1,6.90525e-310,0,1.37373,2
0.635228,1,6.90525e-310,0,0.523928,1
2.67702,1,6.90525e-310,0,2.5607,5
0.838566,1,6.90525e-310,0,0.727042,1
0.658575,1,6.90525e-310,0,0.545755,1
1.36055,1,6.90525e-310,0,1.25276,2
