UOV,UOVp,UOVp2
0.356702,0.165298,0.170221
0.394707,0.231495,0.229525
0.891001,2.23011,0.731176
0.301278,0.316491,0.140565
0.299784,0.153982,0.140659
0.389712,0.723856,0.224524
0.495262,0.990215,0.334667
0.314085,0.867827,0.150003
0.283193,0.225999,0.126125
0.3219,0.389488,0.149298
0.301878,0.28662,0.134734
0.565591,0.219244,0.413596
0.301603,0.767289,0.141947
0.338448,0.304024,0.185656
0.55846,0.562313,0.399516
0.306319,0.203197,0.145926
0.58973,0.390911,0.433815
0.378987,0.409941,0.196268
0.599577,0.157412,0.429434
0.307194,0.819046,0.14475
0.39785,0.2574,0.240967
0.320798,1.00034,0.138971
0.392068,0.216218,0.234846
0.687985,0.188586,0.44745
0.328682,0.21479,0.161547
0.391527,0.50948,0.228844
0.411886,1.66251,0.248304
0.426213,0.891826,0.250539
0.357786,0.266609,0.180077
0.299342,0.61412,0.142872
0.430888,2.75326,0.26898
0.538988,0.314251,0.383247
0.306037,0.902551,0.149333
0.312347,0.478845,0.147137
0.590649,0.186143,0.436459
0.282718,0.576377,0.127757
0.301576,1.20718,0.149657
0.295836,0.237761,0.134367
0.309898,0.224429,0.148015
0.379624,0.293084,0.221856
0.430151,0.908544,0.270386
0.278881,1.26636,0.120854
0.682469,0.124925,0.518255
0.430431,0.304281,0.216138
0.410427,0.159199,0.244647
0.424698,1.18078,0.261513
0.485357,2.70141,0.318869
0.305439,0.18461,0.147485
0.391811,0.676235,0.240178
0.41658,0.197363,0.253526
0.290335,0.631468,0.133222
0.395868,1.28781,0.233566
0.320037,0.497578,0.168829
0.389033,0.292169,0.230377
0.541592,0.211996,0.384365
0.316102,0.241025,0.165266
0.395584,0.367278,0.24505
0.307178,1.32214,0.145032
0.299664,0.757068,0.150338
0.389979,0.974858,0.240445
0.288087,0.83958,0.137382
0.480464,0.458649,0.322493
0.551967,0.463265,0.400875
0.423229,0.486203,0.260942
0.340835,0.580472,0.182527
0.594912,0.213798,0.353841
0.284575,0.145954,0.128602
0.656944,2.03118,0.494706
0.636492,0.646013,0.467791
0.458581,0.409128,0.282655
0.56357,0.428293,0.406469
0.36832,0.304685,0.177086
0.46738,1.73815,0.252343
0.285165,0.257068,0.12646
0.360207,0.203831,0.204397
0.326044,0.226852,0.140213
0.42838,0.183997,0.267467
0.642061,1.28948,0.479863
0.296732,0.346055,0.132963
0.506089,0.141983,0.337691
0.327186,0.280613,0.158017
0.297136,0.233559,0.133553
0.383747,0.122149,0.220254
0.311701,0.197799,0.153876
0.328081,0.407615,0.15546
0.297025,0.127425,0.138614
0.366296,1.19338,0.155331
0.291272,1.00694,0.134759
0.312976,0.506642,0.158366
0.32044,1.61949,0.149784
0.319429,0.293055,0.147834
0.510837,0.514944,0.335851
0.352783,0.366221,0.190675
0.399195,0.160166,0.231621
0.397544,0.50004,0.239582
0.417405,0.331774,0.251921
0.396419,0.27298,0.238668
0.386891,0.160531,0.229757
0.474045,0.609203,0.315316
0.416793,0.164205,0.254872
